plyrId,first,middle,last,nick,shortName
69929,Leonel,Jonás,Aguirre Avalo,,Jonás Aguirre
98,Diego,Martín,Cocca,,Diego Cocca
85272,Rodrigo,Germán,Aliendro,,Rodrigo Aliendro
215639,Alex,,Vigo Gamaliel,,Alex Vigo
6084,Mauro,,Bogado,,Mauro Bogado
16081,Luis,Miguel,Rodríguez,,Luis Miguel Rodríguez
15922,Román,Fernando,Martínez,,Román Martínez
231467,César,Gabriel,Florentín,,Gabriel Florentín
52386,Gonzalo,Alberto,Verón,,Gonzalo Verón
114498,Iván,Leonardo,Colman,,Iván Colman
39578,Lucas,Emanuel,Gamba,,Lucas Gamba
225553,Rodrigo,Iván,González,,Rodrigo González
224851,Carlos,Gabriel,Villalba,,Carlos Villalba
182837,Nicolás,Federico,Femia,,Nicolás Femia
72090,Federico,,Bravo,,Federico Bravo
102372,Leonardo,Enrique,Villalba,,Leonardo Villalba
16844,Gonzalo,Pablo,Castellani,,Gonzalo Castellani
52154,Marcos,Fabián,Sánchez,,Marcos Sánchez
85722,Lautaro,,Giannetti,,Lautaro Giannetti
89103,Lucas,Ezequiel,Janson,,Lucas Janson
209817,Cristian,David,Núñez Morales,,Cristian Núñez
44771,Lucas,Alfonso,Orban,,Lucas Orban
224936,Evelio,Ramón,Cardozo,,Evelio Cardozo
97573,Raúl,Alberto,Loaiza Morelos,,Raúl Loaiza
134676,Guido,,Mainero,,Guido Mainero
128510,Walter,Ariel,Bou,,Walter Bou
226849,Jorge,Gastón,Comas,,Gastón Comas
407,Fernando,Daniel,Belluschi,,Fernando Belluschi
146160,Adam,Fernando,Bareiro Gamarra,Adam Bareiro,Adam Bareiro
42356,Maximiliano,,Coronel,,Maximiliano Coronel
251,Lucas,Matías,Licht,,Lucas Licht
1655,Fabricio,,Coloccini,,Fabricio Coloccini
172559,Baron,Marcos Nicolás,Senesi,,Marcos Senesi
158965,Bruno,Alejandro,Pittón,,Bruno Pittón
75048,Gerónimo,Gastón,Poblete,,Gerónimo Poblete
12609,Sebastián,Alberto,Torrico,,Sebastián Torrico
121341,Héctor,Hugo,Fértoli,,Héctor Fértoli
126,Jesús,Alberto,Dátolo,,Jesús Dátolo
66506,Pablo,Mauricio,Rosales,,Mauricio Rosales
208643,Mateo,,Retegui,,Mateo Retegui
63477,Ignacio,Martín,Fernández,,Ignacio Fernández
37092,Enzo,Nicolás,Pérez,,Enzo Pérez
220307,Pedro,,De la Vega,,Pedro De La Vega
89135,Gabriel,,Ávalos Stumpfs,,Gabriel Ávalos
52390,Carlos,Roberto,Izquierdoz,,Carlos Izquierdoz
189736,Alexis,,Mac Allister,,Alexis Mac Allister
113707,Julián,Antonio,Chicco,,Julián Chicco
95673,Hugo,Gabriel,Silveira Pereira,,Hugo Silveira
39833,Iván,José,Marcone,,Iván Marcone
144877,Matías,,Escudero,,Matías Escudero
185878,Juan,Francisco,Brunetta,,Juan Brunetta
206571,Ezequiel,Eduardo,Bullaude,,Ezequiel Bullaude
101036,Joel,,Soñora,,Joel Soñora
193952,Nahuel,Eloy,Arena,,Nahuel Arena
182947,Juan,Alberto,Andrada,,Juan Alberto Andrada
223804,Aníbal,,Moreno,,Aníbal Moreno
167929,Braian,Abel,Rivero,,Braian Rivero
89081,Lucas,Daniel,Romero,,Lucas Romero
33777,Fabricio,,Fontanini,,Fabricio Fontanini
163041,Alexander,Nahuel,Barboza Ullúa,,Alexander Barboza
229425,Alan,,Soñora,,Alan Soñora
8481,Fernando,,Berón,,Fernando Berón
75888,Cristian,Manuel,Insaurralde,Cristian Insaurralde,
223124,Agustín,José,Urzi,,Agustín Urzi
231468,Lucas,,Ambrogio,,Lucas Ambrogio
209887,Gastón,Nicolás,Verón,,Gastón Verón
190843,Facundo,Axel,Medina,,Facundo Medina
49584,Gervasio,Daniel,Núñez,,Gervasio Núñez
104594,Leonardo,,Godoy,,Leonardo Godoy
214199,Oscar,Camilo,Salomón,,Oscar Salomón
100727,Joao,Leandro,Rodríguez González,Joao Rodríguez,
30012,Rodrigo,Javier,Salinas,,Rodrigo Salinas
193192,Braian,Gabriel,Álvarez,,Braian Álvarez
25847,Nicolás,Mario,Mazzola,,Nicolás Mazzola
106104,Víctor,Ezequiel,Salazar,,Víctor Salazar
71017,Óscar,David,Romero Villamayor,,Óscar Romero
70297,Juan,Edgardo,Ramírez,,Juan Ramírez
70255,Ángel,Rodrigo,Romero Villamayor,,Ángel Romero
51244,Nicolás,Carlos,Colazo,,Nicolás Colazo
657,Ignacio,Martín,Scocco,,Ignacio Scocco
146437,Zander,Mateo,Cassierra Cabezas,,Mateo Cassierra
97643,Fabrizio,Germán,Angileri,,Fabrizio Angileri
66625,Juan,Ignacio,Vieyra,,Juan Ignacio Vieyra
74902,Joaquín,,Arzura,,Joaquín Arzura
4939,Diego,Martín,Rodríguez Berrini,,Diego Rodríguez
210465,Ignacio,Santiago,Aliseda,,Ignacio Aliseda
728,Fernando,Rubén,Gago,,Fernando Gago
1772,Daniele,,De Rossi,,Daniele De Rossi
196073,Nicolás,,Bazzana,,Nicolás Bazzana
45200,Facundo,Daniel,Bertoglio,,Facundo Bertoglio
93853,Franco,,Soldano,,Franco Soldano
114433,Miguel,Isaías,Jacquet Duarte,,Miguel Jacquet
126644,Gabriel,Gustavo,Alanís,,Gabriel Alanís
167687,Fabián,Gastón,Henríquez,,Fabián Henríquez
231669,Agustín,,Lagos,,Agustín Lagos
43841,Brahian,Milton,Alemán,,Brahian Alemán
226837,Santiago,Daniel,Pierotti,,Santiago Pierotti
215632,Germán,Leonel,Guiffrey,,Germán Guiffrey
19946,Gonzalo,Alejandro,Jara Reyes,Gonzalo Jara,Gonzalo Jara
99008,Andrés,Felipe,Roa Estrada,,Andrés Roa
215457,Adolfo,Julián,Gaich,,Adolfo Gaich
97811,Janeiler,,Rivas Palacios,,Janeiler Rivas
44670,Gabriel,Adrián,Díaz,,Gabriel Díaz
52853,Leandro,,Marín,,Leandro Marín
234866,Javier,,Patalano,,Javier Patalano
225123,Andrés,Óscar,Ayala,,Andrés Ayala
85349,Juan,Ignacio,Cavallaro,,Juan Ignacio Cavallaro
231817,Facundo,Martín,Pérez,,Facundo Pérez
39479,Eugenio,Esteban,Mena Reveco,,Eugenio Mena
33527,Alejandro,César,Donatti,,Alejandro Donatti
98840,Paulo,César,Díaz Huincales,Paulo Díaz,Paulo Díaz
483,Javier,Horacio,Pinola,,Javier Pinola
146440,Diego,Luis,Valoyes Ruíz,Diego Valoyes,Diego Valoyes
207679,Nahuel,Ezequiel,Gallardo,,Nahuel Gallardo
41584,Lisandro,Ezequiel,López Dessypris,,Lisandro López
121330,Claudio,Daniel,Villagra,,Claudio Villagra
118014,Rodrigo,Sebastián,Arciero,,Rodrigo Arciero
115360,Jonathan, Emanuel,Cabral,,Jonathan   Cabral
69646,Alan,Nahuel,Ruiz,,Alan Ruiz
173021,Leandro,Isaac,Maciel,,Leandro Maciel
186096,Luis,Ignacio,Ingolotti,,Luis Ingolotti
54,Lucas,Ramón,Barrios Cáceres,,Lucas Barrios
170135,Fausto,Mariano,Vera,,Fausto Vera
222772,Matko,Mijael,Miljevic,,Matko Miljevic
100786,Matías,Alexis,Romero,,Matías Romero
220308,José,Luis,Sinisterra,,José Luis Sinisterra
225093,Francisco,,Manenti,,Francisco Manenti
224608,Damián,Ariel,Fernández,,Damián Fernández
174209,Facundo,Nicolás,Cambeses,,Facundo Cambeses
231236,Khalil,,Caraballo,,Khalil Caraballo
131511,Francisco,,Ilarregui,,Francisco Ilarregui
231470,Juan,Ignacio,Nardoni,,Juan Ignacio Nardoni
77802,Francisco,,Pizzini,,Francisco Pizzini
126685,Agustín,Emiliano,Sufi,,Agustín Sufi
204654,Juan,Cruz,Franzoni,,Juan Cruz Franzoni
236777,Marcelo,,Freites,,Marcelo Freites
108338,Juan,Manuel,García,,Juan Manuel García
140572,Franco,,Pizzicannella Blasi,,Franco Pizzicannella
226839,Francisco,Agustín,González,,Francisco González
170134,Marcelo,Alexis,Weigandt,,Marcelo Weigandt
213575,Lucas,Misael,Necul,,Lucas Necul
140,Pablo,Sebastián,Álvarez,,Pablo Álvarez
224057,Franco,Ezequiel,Calderón,,Franco Calderón
148045,Héctor,David,Martínez,,Héctor Martínez
186438,Facundo,,Melivilo,,Facundo Melivilo
4939,Diego,Martín,Rodríguez Berrini,Diego Rodríguez,
45620,Francisco,Javier,Cerro,,Francisco Cerro
64721,Juan,Martín,Lucero,,Juan Martín Lucero
185878,Juan,Francisco,Brunetta,,Juan Francisco Brunetta
206572,Valentín,Alberto,Burgoa,,Valentín Burgoa
185879,Sebastián,,Lomónaco,,Sebastián Lomónaco
114002,Juan,Cruz,Bolado Morici,,Juan Cruz Bolado
220398,Marcelo,Andrés,Herrera Mansilla,,Andrés Herrera
45501,Ramón,Gines,Arias,,Ramón Arias
228916,César,,Ibáñez,,César Ibáñez
36816,Marco,,Torsiglieri,,Marco Torsiglieri
183160,Jesús,Armando,Vargas Rojas,,Jesús Vargas
10768,Diego,Armando,Maradona,,Diego Maradona
238438,Iván,Gabriel,Maggi,,Iván Maggi
172801,Nahuel,,Bustos,,Nahuel Bustos
3160,Julio,César,Falcioni,,Julio Falcioni
227392,Alan,,Marinelli,,Alan Marinelli
114246,Matías,Exequiel,Orihuela,,Matías Orihuela
200490,Lucas,,Vera,,Lucas Vera
100773,Fabricio,,Bustos,,Fabricio Bustos
217179,Lautaro,,Valenti,,Lautaro Valenti
198991,Pablo,,Martínez,,Pablo Martínez
443,Gustavo,,Alfaro,,Gustavo Alfaro
89103,Lucas,,Janson,,Lucas Janson
185745,Lucas,,Robertone,,Lucas Robertone
728,Fernando,,Gago,,Fernando Gago
193955,Nicolás,,Domínguez,,Nicolás Domínguez
223282,Facundo,Ezequiel,Almada,,Facundo Almada
225493,Rodrigo,Roman,Villagra,,Rodrigo Villagra
225146,Nicolás,Alejandro,Forastiero,,Nicolás Forastiero
231801,Darío,,Sarmiento,,Darío Sarmiento
182836,Nicolás,Fernando,Cordero,,Nicolás Cordero
232812,Rodrigo,,Cabral,,Rodrigo Cabral
78575,Néstor,,Apuzzo,,Néstor Apuzzo
178490,Carlos,Nahuel,Benavídez Protesoni,,Carlos Benavídez
178875,Luis,Alexis,Maldonado,,Alexis Maldonado
204706,Franco,Nicolás,Quiroz,,Franco Quiroz
106311,Cristian,Gabriel,Esparza,,Gabriel Esparza
231514,Brian,,Farioli,,Brian Farioli
